date,level_0,level_1,level_2,vote yes,vote no,chainlink,scalar,normalized_yes,normalized_no,yes_rolling,no_rolling,odds,odds_rolling
2017-07-01,2017,7,1,46,272,0,24,4600.0,27200.0,2100.0,14700.000000000002,0.14465408805031446,
2017-07-02,2017,7,2,54,315,12,24,5400.0,31500.0,6008.333333333333,29750.000000000004,0.14634146341463414,
2017-07-03,2017,7,3,41,138,29,24,3328.943111207396,11780.565291257466,2995.6097778740627,18805.56529125746,0.2203210734946436,
2017-07-04,2017,7,4,50,436,37,24,4596.113058251493,35312.28308970282,4596.113058251492,28493.96881105356,0.11516656898994644,
2017-07-05,2017,7,5,85,373,53,24,8364.187671752612,34054.81303939783,8172.521005085945,34533.247397620755,0.19718021479827003,
2017-07-06,2017,7,6,92,177,69,24,8831.36653761423,15108.267709180875,6703.651497064363,18576.50185425462,0.3689014813915347,
2017-07-07,2017,7,7,114,299,75,24,10184.111746770246,27405.79078202166,12451.84291975015,28291.260133692296,0.2709267931453067,0.20907024046923575
2017-07-08,2017,7,8,57,337,110,24,5423.524903210674,30312.741128194484,4234.155406892543,24603.76754586745,0.1517652935100847,0.21008612696348863
2017-07-09,2017,7,9,18,186,139,24,1712.6920746981075,17943.837038468355,3687.0454385862035,24128.55841932263,0.08713095098518187,0.20162748233070976
2017-07-10,2017,7,10,113,282,158,24,12474.032779497933,27494.534503391642,8605.01979080466,24050.225820668147,0.31209607017457514,0.21473819614212855
2017-07-11,2017,7,11,19,131,206,24,2034.9360343308595,14678.762720705192,5903.949023024142,18970.968687259767,0.12175258535862431,0.21567905562336825
2017-07-12,2017,7,12,60,284,219,24,6428.105848763479,31280.49495498482,5347.248699550177,22862.488471435896,0.17046789622924738,0.2118630101135079
2017-07-13,2017,7,13,13,486,248,24,1482.9632094254318,55440.0092139046,2563.8203586387426,43552.82713762834,0.026052104208416835,0.16288452765877673
2017-07-14,2017,7,14,47,104,250,24,5259.208523472185,11644.547427405067,5259.208523472188,34107.637580432565,0.31112662409204084,0.1686273606511673
2017-07-15,2017,7,15,31,271,276,24,3302.528086149544,28751.717831617854,3302.528086149546,21871.21806031967,0.10302934889255905,0.16166508284866365
2017-07-16,2017,7,16,30,221,312,24,2983.9062949849895,23457.10857624524,2983.9062949849895,27748.885674415207,0.11285142834028278,0.16533943675653523
2017-07-17,2017,7,17,40,237,324,24,5880.307926997561,30022.036424365364,4873.130015837416,22357.885167278928,0.1637861825804234,0.1441523099573707
2017-07-18,2017,7,18,42,207,338,24,5615.727634046654,27647.49264167244,3672.595117212069,31947.880789835584,0.1688269382067594,0.15087721750710426
2017-07-19,2017,7,19,36,197,388,24,5851.622534615148,31403.179903027198,8801.932962609882,26686.951834326792,0.15707028763364625,0.14896327342201837
2017-07-20,2017,7,20,79,239,409,24,13837.748692461128,39819.727346521424,8816.455917981559,37655.59121268971,0.25789041367521465,0.18208303191727523
2017-07-21,2017,7,21,56,134,430,24,6243.58511482453,20823.002928487836,9835.697137107221,29756.23309703864,0.23067499696797578,0.17058994232812305
2017-07-22,2017,7,22,28,101,447,24,3885.8179716256973,12597.79619982489,2424.8360222325896,14393.581877545645,0.2357382265326184,0.1895483534195601
2017-07-23,2017,7,23,35,201,475,24,2972.676442805656,19499.117216238083,5007.773737098364,17370.223625257324,0.13228478722744533,0.1923245475462976
2017-07-24,2017,7,24,50,220,499,24,4854.086677710881,24652.565928826323,5709.152085008161,25264.853581564093,0.16450821251867306,0.19242769468033324
2017-07-25,2017,7,25,116,332,528,24,11612.424194152574,32605.35288436062,6938.852726091747,31152.62640446744,0.2626189049154037,0.20582654706728246
2017-07-26,2017,7,26,116,347,545,24,10348.936363706043,30208.04727388964,11920.792997389019,26828.008951878142,0.2551702674977225,0.21984082990500764
2017-07-27,2017,7,27,51,292,573,24,5155.262700395476,29547.541991215723,6872.549369829021,30510.876277849216,0.1485546412230384,0.204221433840411
2017-07-28,2017,7,28,110,783,585,24,12327.271871653764,86958.11545203369,10961.808476092243,71663.59986002592,0.12415998168456287,0.18900500308563775
2017-07-29,2017,7,29,65,357,610,24,7274.655423939184,40622.5360179554,6952.254344431609,56818.44907086567,0.15188062608564995,0.17702534587892796
2017-07-30,2017,7,30,58,353,636,24,6534.883939692754,39105.36773735713,7369.333792535914,34558.47609797288,0.1431824694117278,0.17858215761953974
2017-07-31,2017,7,31,64,412,659,24,7079.797050740781,45032.51945692237,8058.2669540153565,43249.63384634312,0.13585650236254018,0.17448905616866364
2017-08-01,2017,8,1,117,231,688,24,11934.987633644916,23510.297522917303,8540.374020688336,31318.68238384814,0.3367158024241572,0.1850743272413427
2017-08-02,2017,8,2,56,503,717,24,5544.563878845489,50748.06027713792,8290.919385893061,44686.95724373144,0.09849538837418279,0.1626922016522656
2017-08-03,2017,8,3,124,196,734,24,15080.167974259615,22141.884895366027,15108.211741891071,31353.617003459476,0.40514068439695067,0.1993473506771102
2017-08-04,2017,8,4,87,150,761,24,10770.768789597094,29282.495793040405,9742.374837022544,25368.286090840906,0.2689111337572734,0.22002608668749743
2017-08-05,2017,8,5,66,108,800,24,10865.072765669163,26209.366669561627,12069.467414418088,27183.93144412475,0.2930610126863953,0.24019471334474676
2017-08-06,2017,8,6,18,131,803,24,9406.474959136753,44681.84249487643,10708.593804833106,36986.901478976804,0.17390955019324275,0.2445842963135346
2017-08-07,2017,8,7,28,229,832,24,13802.864816279747,117630.42673352994,13646.088698395222,102564.35307492004,0.10501802590136634,0.24017879967622408
2017-08-08,2017,8,8,28,621,854,24,33223.86374174126,818278.1744294275,25966.694365309406,564402.9691949157,0.03901794975511569,0.19765053500921814
2017-08-09,2017,8,9,116,419,888,24,106481.6257889941,403490.34941739,89603.02676466294,598705.0892682954,0.20879897517094212,0.21340819026589802
2017-08-10,2017,8,10,271,402,900,24,243056.32876696097,346552.9163726305,210201.49501509656,347170.7051184836,0.412232899620522,0.21442136386926536
2017-08-11,2017,8,11,498,517,924,24,296057.4037107933,321513.32090812345,291937.4976940137,340999.3048283815,0.47939028180696375,0.2444898135906497
2017-08-12,2017,8,12,497,605,950,24,262403.077709862,303693.33936704544,263576.8206736886,298270.011200986,0.4635307163129652,0.26884262839444545
2017-08-13,2017,8,13,696,771,967,24,307434.8925106388,336826.7862366892,302745.69230239344,331986.0127413788,0.47718947541378015,0.3121683319973793
2017-08-14,2017,8,14,470,885,998,24,191644.08730413756,363205.2386300133,225250.31348319343,336747.8377811907,0.34539843223470323,0.34650839004499895
2017-08-15,2017,8,15,491,473,1020,24,199099.30617293273,189826.20779284168,168181.76129885225,259815.7999775489,0.5119214323142953,0.414066030410596
2017-08-16,2017,8,16,362,544,1045,24,142745.74242317863,214474.5850273509,180478.4289856969,198217.0277919931,0.39960139850369264,0.4413235194581318
2017-08-17,2017,8,17,548,460,1070,24,222481.83972815014,186641.17819210162,166889.56809694896,190877.3461017321,0.5438018150607146,0.46011907880673075
2017-08-18,2017,8,18,761,607,1098,24,317937.0486404667,259034.98934500088,311184.90332394274,231138.00347080175,0.551044119487251,0.4703553413324861
2017-08-19,2017,8,19,511,435,1121,24,220394.49701541406,194165.06075808225,267162.56944510515,220743.07428136806,0.5316353051877565,0.4800845683145991
